DeptCode,Year,Month,AccountCode,SaveOption,Amount,UpdateTime,UpdateUser
R12_04_LTN,2017,3,2__2_1__1_3,receive,1286653486,40:54.9,D_MMA
R12_04_LTN,2017,3,2__2_1__1_3__2_,receive,1286653486,40:54.9,D_MMA
R12_04_LTN,2016,3,2__2_1__1_1__7_,receive,472999036,04:04.2,D_SSM
R12_04_LTN,2017,3,1__1_3__3_6__3_16_,receive,457328837,40:54.9,D_MMA
R12_04_LTN,2017,3,1__1_3__3_6__1_3_,receive,452000000,40:54.9,D_MMA
R12_04_LTN,2017,3,1__1_3__3_6__3_3_3,receive,318301500,40:54.9,D_MMA
R12_04_LTN,2017,6,1__1_3__3_6__3_3_3,receive,291163069,54:05.4,D_EKTW
R12_04_LTN,2015,3,1__1_3__3_6__3_3_3,receive,176958980,32:10.3,D_DNS
R12_04_LTN,2015,3,2__2_1__1_1__4,receive,151286576,32:10.3,D_DNS
R12_04_LTN,2015,3,2__2_1__1_3,receive,144457979.4,32:10.3,D_DNS
R12_04_LTN,2015,3,2__2_1__1_3__2_,receive,144457979.4,32:10.3,D_DNS
R12_04_LTN,2016,3,2__2_1__1_1__4,receive,130909515,04:04.2,D_SSM
R12_04_LTN,2016,3,1__1_8__8_1,receive,128680655,04:04.2,D_SSM
R12_04_LTN,2016,3,1__1_3__3_6__3_3_3,receive,124231505,04:04.2,D_SSM
R12_04_LTN,2014,3,1__1_3__3_6__3_3_3,receive,116339594,24:56.8,D_DNS
R12_04_LTN,2017,2,1__1_3__3_6__3_3_3,receive,112504381,04:47.0,D_MMA
R12_04_LTN,2017,3,2__2_1__1_1__4,receive,104084305,40:54.9,D_MMA
R12_04_LTN,2016,2,2__2_1__1_1__7_,receive,102896000,28:13.5,D_SSM
R12_04_LTN,2016,2,2__2_1__1_1__4,receive,102708611,28:13.5,D_SSM
R12_04_LTN,2015,12,1__1_3__3_6__3_3_3,receive,101718976,27:18.2,D_SSM
R12_04_LTN,2013,10,1__1_3__3_6__3_3_3,receive,98650403,37:41.8,D_DNS
R12_04_LTN,2014,3,2__2_1__1_3,receive,97689647.68,24:56.8,D_DNS
R12_04_LTN,2016,3,2__2_1__1_3,receive,95924057.7,04:04.2,D_SSM
R12_04_LTN,2016,2,1__1_8__8_1,receive,95356310,28:13.5,D_SSM
R12_04_LTN,2015,1,1__1_3__3_6__3_3_3,receive,94907734,38:28.3,D_DNS
R12_04_LTN,2016,3,2__2_1__1_1__6,receive,92384000,04:04.2,D_SSM
R12_04_LTN,2014,3,2__2_1__1_1__4,receive,92255919,24:56.8,D_DNS
R12_04_LTN,2015,3,1__1_8__8_1,receive,86760420,32:10.3,D_DNS
R12_04_LTN,2016,2,1__1_3__3_6__3_3_3,receive,85220029,28:13.5,D_SSM
R12_04_LTN,2016,3,2__2_1__1_3__2_,receive,81924057.7,04:04.2,D_SSM
R12_04_LTN,2017,1,1__1_3__3_6__3_3_3,receive,76835167,24:56.2,D_MMA
R12_04_LTN,2016,1,1__1_3__3_6__3_3_3,receive,75091657,27:44.3,D_SSM
R12_04_LTN,2016,12,1__1_3__3_6__3_3_3,receive,74524524,07:48.5,D_MMA
R12_04_LTN,2017,2,2__2_1__1_1__4,receive,72879704,04:47.0,D_MMA
R12_04_LTN,2016,3,1__1_3__3_6__3_16_,receive,69176770,04:04.2,D_SSM
R12_04_LTN,2015,2,1__1_3__3_6__3_3_3,receive,65347008,08:47.9,D_DNS
R12_04_LTN,2013,12,1__1_3__3_6__3_3_3,receive,62748359,35:15.5,D_DNS4
R12_04_LTN,2014,1,2__2_1__1_1__4,receive,62688187,14:04.3,D_DNS
R12_04_LTN,2016,1,1__1_3__3_6__3_16_,receive,61446452,27:44.3,D_SSM
