DeptCode,Year,Month,SaveOption,Amount,UpdateTime,UpdateUser
R12_04_LTN,2017,3,receive,1286653486,40:54.9,D_MMA
R12_04_LTN,2017,3,receive,1286653486,40:54.9,D_MMA
R12_04_LTN,2016,3,receive,472999036,04:04.2,D_SSM
R12_04_LTN,2017,3,receive,457328837,40:54.9,D_MMA
R12_04_LTN,2017,3,receive,452000000,40:54.9,D_MMA
R12_04_LTN,2017,3,receive,318301500,40:54.9,D_MMA
R12_04_LTN,2017,6,receive,291163069,54:05.4,D_EKTW
R12_04_LTN,2015,3,receive,176958980,32:10.3,D_DNS
R12_04_LTN,2015,3,receive,151286576,32:10.3,D_DNS
R12_04_LTN,2015,3,receive,144457979.4,32:10.3,D_DNS
R12_04_LTN,2015,3,receive,144457979.4,32:10.3,D_DNS
R12_04_LTN,2016,3,receive,130909515,04:04.2,D_SSM
R12_04_LTN,2016,3,receive,128680655,04:04.2,D_SSM
R12_04_LTN,2016,3,receive,124231505,04:04.2,D_SSM
R12_04_LTN,2014,3,receive,116339594,24:56.8,D_DNS
R12_04_LTN,2017,2,receive,112504381,04:47.0,D_MMA
R12_04_LTN,2017,3,receive,104084305,40:54.9,D_MMA
R12_04_LTN,2016,2,receive,102896000,28:13.5,D_SSM
R12_04_LTN,2016,2,receive,102708611,28:13.5,D_SSM
R12_04_LTN,2015,12,receive,101718976,27:18.2,D_SSM
R12_04_LTN,2013,10,receive,98650403,37:41.8,D_DNS
R12_04_LTN,2014,3,receive,97689647.68,24:56.8,D_DNS
R12_04_LTN,2016,3,receive,95924057.7,04:04.2,D_SSM
R12_04_LTN,2016,2,receive,95356310,28:13.5,D_SSM
R12_04_LTN,2015,1,receive,94907734,38:28.3,D_DNS
R12_04_LTN,2016,3,receive,92384000,04:04.2,D_SSM
R12_04_LTN,2014,3,receive,92255919,24:56.8,D_DNS
R12_04_LTN,2015,3,receive,86760420,32:10.3,D_DNS
R12_04_LTN,2016,2,receive,85220029,28:13.5,D_SSM
R12_04_LTN,2016,3,receive,81924057.7,04:04.2,D_SSM
R12_04_LTN,2017,1,receive,76835167,24:56.2,D_MMA
R12_04_LTN,2016,1,receive,75091657,27:44.3,D_SSM
R12_04_LTN,2016,12,receive,74524524,07:48.5,D_MMA
R12_04_LTN,2017,2,receive,72879704,04:47.0,D_MMA
R12_04_LTN,2016,3,receive,69176770,04:04.2,D_SSM
R12_04_LTN,2015,2,receive,65347008,08:47.9,D_DNS
R12_04_LTN,2013,12,receive,62748359,35:15.5,D_DNS4
R12_04_LTN,2014,1,receive,62688187,14:04.3,D_DNS
R12_04_LTN,2016,1,receive,61446452,27:44.3,D_SSM
R12_04_LTN,2014,10,receive,59305000,26:19.7,D_DNS
R12_04_LTN,2015,2,receive,57862115,08:47.9,D_DNS
R12_04_LTN,2013,12,receive,56138377,35:15.5,D_DNS4
R12_04_LTN,2016,1,receive,54297674,27:44.3,D_SSM
R12_04_LTN,2017,5,receive,53144468,37:44.9,D_MMA
R12_04_LTN,2017,4,receive,52732455.66,09:45.8,D_MMA
R12_04_LTN,2015,1,receive,52689280,38:28.3,D_DNS
R12_04_LTN,2016,1,receive,52580718.31,27:44.3,D_SSM
R12_04_LTN,2016,1,receive,52580718.31,27:44.3,D_SSM
R12_04_LTN,2014,2,receive,52237232,00:40.2,D_YYS
R12_04_LTN,2016,10,receive,51915097,59:46.8,D_MMA
R12_04_LTN,2015,8,receive,51370805,18:09.1,D_SSM
R12_04_LTN,2014,1,receive,48108250.18,14:04.3,D_DNS
R12_04_LTN,2017,3,receive,46550000,40:54.9,D_MMA
R12_04_LTN,2013,9,receive,46351854,37:22.8,D_DNS
R12_04_LTN,2015,12,receive,45430000,27:18.2,D_SSM
R12_04_LTN,2015,12,receive,44827436,27:18.2,D_SSM
R12_04_LTN,2013,10,receive,44124849,37:41.8,D_DNS
R12_04_LTN,2014,12,receive,42726662.72,01:22.6,D_DNS
R12_04_LTN,2014,12,receive,42726662.72,01:22.6,D_DNS
R12_04_LTN,2016,11,receive,42379712,59:41.9,D_MMA
R12_04_LTN,2014,1,receive,41159854,14:04.3,D_DNS
